职位名称,薪资范围,公司名称,公司人数,工作经验
运维工程师-IT支持部,15,易车公司,2000,本科
ERP财务软件维护(运维)/ERP系统管理专员,30,恒昌利通,2000,本科
应用运维工程师,35,恒昌利通,2000,本科
高级运维工程师,40,中邮信息科技（北京）有限公司,2000,本科
运维开发工程师,40,必示科技,500,本科
智能运维（AIOps）解决⽅案架构师,60,必示科技,500,本科
DevOps 运维工程师,40,中邮信息科技（北京）有限公司,2000,本科
运维工程师,25,鲸算科技,2000,不限
软件运维工程师,8,国都互联,150,本科
系统运维工程师,10,国都互联,150,本科
linux运维工程师（12小时值班）,11,联龙博通,2000,大专
运维工程师,30,探真科技,50,本科
运维工程师,25,鲸算科技,2000,不限
软件运维工程师,8,国都互联,150,本科
系统运维工程师,10,国都互联,150,本科
linux运维工程师（12小时值班）,11,联龙博通,2000,大专
运维工程师,30,探真科技,50,本科
运维经理,15,长城软件,2000,本科
运维工程师,8,长城软件,2000,大专
技术支持/项目运维工程师（北京）,15,同花顺,2000,本科
运维工程师,16,中电系统,2000,本科
运维工程师,15,眼神科技,500,本科
运维工程师,12,眼神科技,500,本科
资深运维开发工程师,25,滴滴,2000,本科
SRE/运维工程师（实习生也招聘）,36,跟谁学,2000,本科
容器化开发运维工程师,30,Udesk－企业级智能客服平台,2000,本科
网络运维工程师,20,翼课网,2000,本科
容器化开发运维工程师,30,Udesk－企业级智能客服平台,2000,本科
网络运维工程师,20,翼课网,2000,本科
北京运维工程师,25,微众信科,500,大专
北京运维工程师,25,微众信科,500,本科
IT-桌面运维(J11196),10,伴鱼口语,2000,不限
运维经理,38,竹间智能科技(上海)有限公司,500,本科
运维工程师,15,未来教育高精尖中心,500,本科
运维开发工程师,25,人人车,2000,本科
资深运维工程师,25,天眼查,2000,不限
高级运维经理,40,携程集团,2000,本科
运维工程师,20,完美世界,2000,本科
运维专家,55,Soul,2000,本科
IDC运维工程师,20,360,2000,本科
大数据平台运维工程师,40,360,2000,本科
高级运维开发工程师,40,好大夫在线,2000,本科
系统运维工程师,15,云号科技,50,本科
2021届运维实施实习生,4,赢时胜软件,2000,本科
高级运维开发工程师,40,商汤科技,2000,本科
容器云运维开发架构师,50,商汤科技,2000,本科
桌面运维,10,尔湾科技,2000,大专
运维实习生,5,金山云,2000,本科
IT运维工程师(2021届校招),26,QQ炫舞,2000,本科
Linux高级运维工程师,30,金山世游,2000,本科
大数据运维工程师(J10428),25,TalkingData,2000,本科
系统运维工程师(J10436),25,TalkingData,2000,本科
运维工程师,25,孔夫子旧书网,150,本科
运维总监,70,孔夫子旧书网,150,本科
IDC机房运维工程师,7,森华易腾,500,大专
运维开发工程师【岗位编号003】,50,UMU,150,本科
运维专家,35,泰康在线,2000,本科
运维工程师,25,孔夫子旧书网,150,本科
运维总监,70,孔夫子旧书网,150,本科
IDC机房运维工程师,7,森华易腾,500,大专
运维专家,35,泰康在线,2000,本科
运维开发工程师,15,云迹科技,500,本科
网络运维工程师(J14742),25,新东方,2000,本科
应用运维工程师 - 有道事业群710,30,网易,2000,本科
高级运维工程师 - 有道事业群777,25,网易,2000,不限
运维工程师,25,外研社,2000,本科
资深运维工程师,40,Mobvista,2000,本科
数据库运维工程师,16,泛华金融控股集团,2000,本科
运维开发工程师【岗位编号003】,50,UMU,150,本科
运维开发工程师,20,灵雀云,500,本科
运维开发工程师（高级）,30,灵雀云,500,本科
高级运维工程师,28,Mobvista,2000,本科
运维开发工程师,20,灵雀云,500,本科
运维开发工程师（高级）,30,灵雀云,500,本科
高级运维工程师,28,Mobvista,2000,本科
